Korean,English,Syn
가야대학교,Kaya University,"加耶大學校, 가야대학, 가야대, Kaya University, 加耶大學, 加耶大"
가천대학교,Gachon University,"가천대학, Gachon University, 嘉泉大, 가천대, 嘉泉大學校, 嘉泉大學"
가톨릭관동대학교,Catholic Kwandong University,"가톨릭關東大學校, 관동대학교, Catholic Kwandong University, 가톨릭關東大學, Kwandong University, 관동대학, 가톨릭관동대학, 關東大學, 關東大學校, 가톨릭관동대, 관동대, 關東大, 가톨릭關東大"
가톨릭대학교,The Catholic University of Korea,"가톨릭대학, 가톨릭大學, Catholic University of Korea, 가톨릭대, The Catholic University of Korea, 가톨릭大學校, 가톨릭大, 카톨릭대학교, 카톨릭대, 카톨릭대학"
가톨릭상지대학교,Catholic Sangji College,"CATHOLIC SANGJI COLLEGE, 加圖立上智大學, 가톨릭상지대학, 加圖立上智大學校, 加圖立上智大, 가톨릭상지대"
감리교신학대학교,Methodist Theological University,"감리교신학대학, 監理敎神學大學, 감리교신학대, Methodist Theological University, 監理敎神學大學校, 監理敎神學大"
강남대학교,Kangnam University,"KANGNAM University, 강남대, 江南大學校, 강남대학, 장난대학교, Jiangnan University, 江南大學, 江南大"
강동대학교,Gangdong University,"江東大學校, 江東大, KangDong university, 江東大學, GANGDONG COLLEGE, 강동대학, 강동대"
강릉영동대학교,Gangneung Yeongdong University,"GANGNEUNG YEONGDONG COLLEGE, 江陵嶺東大學, 江陵嶺東大學校, 강릉영동대, Gang Neung Yeong Dong College, 강릉영동대학, 江陵嶺東大, 영동대학교"
강릉원주대학교,Gangneung-Wonju National University,"原州大學, 강릉원주대, 원주대, 강릉원주대학, 원주대학, 原州大, Wonju College, 江陵原州大, 江陵原州大學, Gangneung-Wonju National University, 江陵原州大學校, Wonju National College, 국립강릉원주대학교"
강원관광대학교,Kangwon Tourism College,"Kangwon Tourism College, 江原觀光大學校, 강원관광대, 江原觀光大學, 강원관광대학, 江原觀光大"
강원대학교,Kangwon National Universtiy,"江原大學, 국립강원대, 강원대, 국립강원대학, Kangwon National University, 江原大, 江原大學校, 강원대학, 국립강원대학교"
강원도립대학교,Gangwon State University,"江原道立大學校, Gangwon Provincial College, 江原道立大, 강원도립대학, Gangwon State University, 강원도립대, 江原道立大學"
개신대학원대학교,Reformed Graduate University,"Reformed Graduate University, 改神大學院大, 改神大學院大學, 改神大學院大學校, Reformed Theological Seminary, 개신대학원대학, 개신대학원대"
거제대학교,Koje College,"巨濟大學, 巨濟大, 거제대학, KOJE COLLEGE, 거제대"
건국대학교,Konkuk Universtiy,"建國大學校, 建國大學, 건국대, 건국대학, KONKUK UNIVERSITY, 建國大, 건국대학교(글로컬)"
건신대학원대학교,Asia Life University,"建信大學院大, 建信大學院大學, 建信大學院大學校, 건신대학원대, Asia LIFE University, 건신대학원대학"
건양대학교,Konyang Universtiy,"建陽大, 건양대, 建陽大學, 건양대학, KONYANG UNIVERSITY, 建陽大學校"
건양사이버대학교,Konyang Cyber University,"Konyang Cyber University, 建陽사이버大, 건양사이버대, 建陽사이버大學校, 건양사이버대학, 建陽사이버大學"
경기과학기술대학교,Gyeonggi College of Science and Technology,"Gyeonggi College of Science and Technology, 京畿科學技術大學校, 京畿科學技術大學, 京畿科學技術大, 경기과학기술대학, 경기과학기술대"
경기대학교,Kyonggi Universtiy,"경기대, 京畿大學, Kyonggi University, 京畿大學校, Kyonggi College, 경기대학, 京畿大"
경남과학기술대학교,Gyeongnam National University of Cseince and Technology,"경남과학기술대학, Gyeongnam National University of science and Technology, 慶南科學技術大學校, 慶南科學技術大, 慶南科學技術大學, 경남과학기술대"
경남대학교,Kyungnam Universtiy,"慶南大, 경남대, Kyungnam university, 慶南大學, 경남대학, 慶南大學校"
경남도립거창대학,University of Gyeongnam Geochang,"慶南道立居昌大學, 경남도립거창대, 慶南道立居昌大, GyeongNam Provincial Geochang College"
경남도립남해대학,University of Gyeongnam Namhae,"慶南道立南海大學, 경남도립남해대, 慶南道立南海大, Gyeongnam Provincial Namhae College, 경남도립남해대학교"
경남정보대학교,Kyungnam College of Information & Technology,"경남정보대, 慶南情報大學校, Kyungnam College of Information and Technology, 경남정보대학, Kyungnam College of Information & Technology, 慶南情報大學, 慶南情報大"
경동대학교,Kyungdong Universtiy,"경동대, 京東大學, Kyungdong University, 경동대학, 京東大學校, 京東大"
경민대학교,Kyungmin University,"경민대학, 경민대, 慶旼大學校, Kyungmin University, KYUNGMIN COLLEGE, 慶旼大, 慶旼大學"
경복대학교,Kyungbok University,"京福大學, KYUNGBOK UNIVERSITY, 경복대학, 京福大學校, 京福大, 경복대, Kyungbok College"
경북과학대학교,Kyongbuk Science College,"경북과학대, Kyongbuk College of Science, 慶北科學大, KYONGBUK SCIENCE COLLEGE, 慶北科學大學校, 慶北科學大學, 경북과학대학"
경북대학교,Kyungpook National Universtiy,"Kyungpook National University, 경북대학, 경북대, 慶北大學校, 慶北大, 慶北大學, 칠곡경북대학교"
경북도립대학교,Gyeongbuk Provincial College,"GYEONGBUK PROVINCIAL COLLEGE, 慶北道立大學, 慶北道立大, 경북도립대, 경북도립대학, 慶北道立大學校"
경북보건대학교,Gyeongbuk College of Health,"慶北保健大學校, 慶北保健大學, GYEONGBUK COLLEGE OF HEALTH, 경북보건대학, 경북보건대, 慶北保健大"
경북전문대학교,Kyungbuk College,"경북전문대학, 경북전문대, 慶北專門大, 慶北專門大學, 慶北專門大學校, Kyungbuk College"
경상국립대학교,Gyeongsang National Universtiy,
경상대학교,Gyeongsang National Universtiy,"GYEONGSANG NATIONAL UNIVERSITY, 慶尙大學, 경상대, 慶尙大學校, 국립경상대학교, 慶尙大, 경상대학"
경성대학교,Kyungsung Universtiy,"Kyungsung University, 慶星大學校, 경성대, 慶星大, 경성대학, 慶星大學"
경안신학대학원대학교,Gyeongan Graduate University,"GyeongAn Theological Graduate University, 慶安神學大學院大學校, 慶安神學大學院大, 경안신학대학원대, GyeongAn Theological University, 경안신학대학원대학, 慶安神學大學院大學"
경운대학교,Kyungwoon Universtiy,"raduate School of Industrlal Information, 경운대학, 경운대학(산업대), 경운대(산업대), 慶雲大學校, 慶雲大, 경운대, 慶雲大學, Kyungwoon University"
경원전문대학,Kyungwon University,
경인교육대학교,Gyeongin National Universtiy of Education,"京仁敎育大學校, 경인교육대, 경인교육대학, 京仁敎育大學, GYEONGIN NATIONAL UNIVERSITY OF EDUCATION, 京仁敎育大"
경인여자대학교,Kyung-in Women's University,"경인여자대, KYUNG-IN WOMEN'S UNIVERSITY, 敬仁女子大學, 경인여자대학, 敬仁女子大, 敬仁女子大學校"
경일대학교,Kyungil Universtiy,"KYUNGIL UNIVERSITY, 慶一大學, 경일대, 慶一大學校, 慶一大, 경일대학"
경주대학교,Gyeongju Universtiy,"慶州大, 경주대학, 경주대, Gyeongju University, 慶州大學校, 慶州大學"
경희대학교,Kyunghee Universtiy,"kyung hee university, KyungHee University, 경희대학, 경희대, 大學院"
경희사이버대학교,Kyung Hee Cyber University,"KyungHee Cyber University, 경희사이버대학, 경희사이버대, 慶熙사이버大學, 慶熙사이버大學校, 慶熙사이버大"
계명대학교,Keimyung University,"Keimyung University, 啓明大學, 계명대 병설전문학교, 계명대학, 啓明大, 계명대, 啓明大學校"
계명문화대학교,Keimyung College University,"계명문화대학, KEIMYUNG COLLEGE UNIVERSITY, 계명문화대, 啓明文化大, 啓明文化大學校, 啓明文化大學, Keimyung College"
계약신학대학원대학교,Kyeyak Graduate School of Theology,"契約神學大學院大學校, 契約神學大學院大學, 계약신학대학원대, 계약신학대학원대학, KYEYAK GRADUATE SCHOOL OF THEOLOGY, 契約神學大學院大"
계원예술대학교,kaywon school of art & design,"KAYWON UNIVERSITY OF ART & DESIGN, 桂園藝術大學校, 桂園藝術大學, 계원예술대학, 桂園藝術大, 계원예술대, Kaywon University of Art and Design"
고구려대학교,Koguryeo College,"高句麗大, KOGURYEO COLLEGE, 高句麗大學校, 高句麗大學, 고구려대학, 고구려대"
고려대학교,Korea University,"高麗大學校, 고려대, 고려대학, Korea University, 高麗大學, 高麗大, 고려대학교(세종)"
고려사이버대학교,Cyber University of Korea,"고려사이버대학, THE CYBER UNIVERSITY OF KOREA, 고려사이버대"
고신대학교,Kosin University,"高神大學校, 고신대, 高神大學, KOSIN UNIVERSITY, 고신대학, 高神大"
공군사관학교,Republic of Korea Air Force Academy,"Republic of Korea Air Force Academy, 空軍士官學校, Air Force Academy"
공주교육대학교,Gongju National University of Education,"공주교육대학, 公州敎育大學, 공주교육대, 公州敎育大學校, 公州敎育大, GONGJU NATIONAL UNIVERSITY OF EDUCATION"
공주대학교,Kongju National University,"公州大學, 공주대, Kongju National University, 국립공주대학, 국립공주대학교, 公州大學校, 국립공주대, 公州大, 공주대학"
과학기술연합대학원대학교,University of Science and Technology,"科學技術聯合大學院大學校, 과학기술연합대학원대학, University of Science and Technology, 科學技術聯合大學院大學, 科學技術聯合大學院大, 과학기술연합대학원대, 과학기술연합대학원, 과학기술연합대학원대학교(UST)"
광신대학교,Kwangshin Universiy,"光神大學校, 光神大, 광신대, 광신대학, KWANGSHIN UNIVERSITY, 光神大學"
광양보건대학교,Gwangyang Health Sciences University,"光陽保健大學校, 光陽保健大學, GwangYang Health College, 광양보건대학, 光陽保健大, GwangYang Health Sciences University, 광양보건대"
광운대학교,Kwangwon Universiy,"光云大學, 光云大, Kwangwoon University, 광운대학, 광운대, Kwangwoon College, 光云大學校"
광주가톨릭대학교,Gwangju Catholic Universtiy,"광주가톨릭대학, Gwangju Catholic University, 光州가톨릭大學校, 光州가톨릭大, 광주가톨릭대, 光州가톨릭大學"
광주과학기술원,Gwangju Institute of Science and Technology,"光州科學技術阮, Gwangju Institute of Science and Technology, GIST, 광주과학기술원(GIST)"
광주교육대학교,Gwangju National Universiy of Education,"光州敎育大, 光州敎育大學校, 光州敎育大學, 광주교육대학, 광주교육대, Gwangju National University of Education"
광주대학교,Gwangju Universiy,"光州大學, 광주대, 光州大, 광주대(산업대), 광주대학(산업대), 광주대학, Gwangju University, 光州大學校"
광주보건대학교,Gwangju Health University,"光州保健專門大學, 光州保建大, 광주보건대, 광주보건전문대, Kwangju health college, Gwangju Health University, 光州保建大學校, 光州保健專門大, 광주보건전문대학, 광주보건대학, 光州保建大學"
광주여자대학교,Kwangju Women's Universiy,"광주여자전문대학, 광주여자대학, Kwangju Women's University, 光州女子大學, 光州女子大學校, 光州女子大, 광주여자대, 광주여자전문대"
구미대학교,Gumi University,"龜尾大, Gumi University, 龜尾大學, 구미대학, 龜尾大學校, 구미대, kumicollege"
구세군사관대학원대학교,The Salvation Army Graduate University For Officer Training,"救世軍士官學校, The Salvation Army Graduate University For Officer Training, 구세군사관대학원대, TheSalvationArmyGraduateUniversityForOfficerTraining, 구세군사관대학원대학"
국립암센터국제암대학원대학교,National Cancer Center Graduate School of Cancer Science and Policy,
국민대학교,Kookmin Universiy,"國民大學校, 國民大, KookminUniversity, 국민대학, 국민대, 國民大學, Kookmin University"
국제뇌교육종합대학원대학교,University of Brain Education,"國際腦敎育綜合大學院大敎, university of brain educational, 國際腦敎育綜合大學院大學敎, 국제뇌교육종합대학원대, University of Brain Education, 국제뇌교육종합대학원대학"
국제대학교,Kookje University,"국제대, 國際大學校, 國際大學, KOOKJE COLLEGE, 國際大, KOOKJE UNIVERSITY, 국제대학"
국제문화대학원대학교,Korea International Culture University of Graduate,"國際文化大學院大學, 國際文化大學院大, 국제문화대학원대, 國際文化大學院大學校, 국제문화대학원대학, Korea International Culture University of Graduate"
국제법률경영대학원대학교,Transnational Law and Business University Graduate School of Law,"國際法律經營大學院大學, 國際法律經營大學院大, Transnational Law and Business University Graduate School of Law, TLBU Graduate School of Law, 국제법률경영대학원대, 국제법률경영대학원대학, 國際法律經營大學院大學校"
국제사이버대학교,GukJe Cyber University,"Gukje Cyber University, 국제사이버대, 國際Cyber大, 國際Cyber大學, 국제사이버대학, 國際Cyber大學校"
국제신학대학원대학교,Kukje Theological University and Seminary,"國際神學大學院大學校, 國際神學大學院大學, 국제신학대학원대학, KUKJE THEOLOGICAL UNIVERSITY AND SEMINARY, 國際神學大學院大, 국제신학대학원대"
국제영어대학원대학교,International Graduate School of English,"국제영어대학원대, 국제영어대학원대학, International Graduate School of English"
군산간호대학교,Kunsan College of Nursing,"群山看護大學, 군산간호대, 群山看護大學校, 群山看護大, KUNSAN COLLEGE OF NURSING, 군산간호대학"
군산대학교,Kunsan National University,"군산대학, KUNSAN NATIONAL UNIVERSITY, 군산대, 群山大學, 群山大, 群山大學校, 국립군산대학교"
군장대학교,KunJang University college,"KUNJANG UNIVERSITY COLLEGE, 群長大學校, 군장대, 群長大學, Kunjang College, 군장대학, 群長大"
극동대학교,Far East University,"FAR EAST UNIVERSITY, 극동대, Far East University of Science and Technology, 極東大學, 極東大, 극동대학, 極東大學校"
글로벌사이버대학교,Global Cyber University,"GLOBAL CYBER UNIVERSITY, GLOBAL CYBER 大學校, 글로벌사이버대학, 글로벌사이버대, GLOBAL CYBER 大, GLOBAL CYBER 大學"
금강대학교,Geumgang University,"金剛大學校, GEUMGANG UNIVERSITY, 金剛大學, 금강대, 금강대학, 金剛大"
금오공과대학교,Kumoh National Institute of Technology,"금오공과대, 국립금오공과대학교, 金烏工科大學, 金烏工科大學校, Kumoh National Institute of Technology, 금오공과대학, 金烏工科大, 금오공대, 금오공대학교, 금오공대학"
기독간호대학교,Christian College of Nursing,"基督看護大學校, 기독간호대학, 基督看護大學, 基督看護大, 기독간호대, Christian College of Nursing"
김천대학교,Gimcheon University,"金泉大學校, 김천대학, GIMCHEON COLLEGE, GIMCHEON UNIVERSITY, 金泉大, 金泉大學, 김천대"
김포대학교,Kimpo University,"金浦大, 김포대학, 김포대, KIMPO UNIVERSITY, 金浦大學校, 金浦大學"
김해대학교,Gimhae College,"Gimhae College, 金海大學校, 김해대학, 金海大, 金海大學, 김해대"
꽃동네대학교,Catholic Kkottongnae University,"꽃동네대학, 꽃동네大學, Kkottongnae University, 꽃동네大, 꽃동네대, 꽃동네大學校"
나사렛대학교,Korea Nazarene University,"나사렛大學, Korea Nazarene University, 나사렛大, 나사렛대학, 나사렛대, 나사렛大學校"
남부대학교,Nambu University,"남부대, 南部大, NAMBU UNIVERSITY, 南部大學, 남부대학, 南部大學校"
남서울대학교,Namseoul University,"남서울산업대학, 남서울산업대학교, 南서울大, 남서울대학, Namseoul University, 남서울산업대, 南서울大學, 南서울大學校, 남서울대"
농협대학교,Agricultural Cooperative University,"AgriculturalCooperativeCollege, 農協大學, Agricultural Cooperative University, 農協大學校, 농협대학, 農協大, 농협대"
능인대학원대학교,Nungin University,"한국정보과학회 언어공학연구회, 국가인권위원회, 한국폴리텍 II 대학, 한국시각장애인복지재단 점자도서관, 건양사이버대학교"
단국대학교,Dankook University,"檀國大, 단국대학, 檀國大學校, 檀國大學, DANKOOK UNIVERSITY, 단국대"
대경대학교,Daekyeung University,"대경대학, 大慶大學, Daekyeung University, Daekyeung College, 대경대, 大慶大, 大慶大學校"
대구가톨릭대학교,Catholic Universtiy of Daegu,"大邱가톨릭大學, 大邱가톨릭大學校, 대구카톨릭대학교, 대구가톨릭대, 大邱가톨릭大, 대구가톨릭대학, CATHOLIC UNIVERSITY OF DAEGU"
대구경북과학기술원,Daegu Gyeongbuk Inst. of Science & Technology,"재단법인대구경북과학기술원, 大邱慶北科學技術院, DGIST, DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY, Daegu Gyeongbuk Institute of Science & Technology, DAEGU GYEONGBUK INSTITUTE OF SCIENCE & TECHNOLOGY, DGIST, 대구경북과학기술원(DGIST)"
대구공업대학교,Daegu Technical University,"대구공업전문대, 대구공업전문대학, 大邱工業大學, 대구공업대, 대구공업대학, 大邱工業大, Daegu Technical University, 大邱工業大學校, Daegu Technical College"
대구과학대학교,Taegu Science University,"大邱科學大學校, 大邱科學大學, 대구과학대, 大邱科學大, 대구과학대학, Taegu Science University"
대구교육대학교,Daegu National University of Education,"DAEGU NATIONAL UNIVERSITY OF EDUCATION, 대구교육대학, 대구교육대, 大邱敎育大學校, 大邱敎育大, 大邱敎育大學"
대구대학교,Daegu University,"대구대학, 大邱大, 大邱大學校, 대구대, Daegu University, 大邱大學"
대구미래대학교,Daegu Mirae College,"대구미래대학, 大邱未來大學, DAEGU FUTURE COLLEGE, 大邱未來大, 대구미래대, 大邱未來大學校"
대구보건대학교,Daegu Health College,"대구보건대학, Daegu Health College, 大邱保健大學校, 대구보건대, Taegu Health College, 대구보건전문대학, 大邱保健大學, 大邱保健大, 대구보건전문대"
대구사이버대학교,Daegu Cyber University,"대구사이버대학, Daegu Cyber University, 대구사이버대"
대구예술대학교,Daegu Arts University,"大邱藝術大學校, 대구예술대학, DAEGU ARTS UNIVERSITY, 大邱藝術大, 大邱藝術大學, 대구예술대"
대구외국어대학교,Daegu University of Foreign Studies,"Daegu University of Foreign Studies, 大邱外國語大學, 大邱外國語大, 대구외국어대학, 大邱外國語大學校, 대구외국어대"
대구한의대학교,Daegu Haany University,"대구한의과대, 大邱韓醫大, 大邱韓醫大學校, 대구한의대, Daegu Haany University, 대구한의과대학, 大邱韓醫大學, 대구한의대학"
대덕대학교,Daeduk College,"大德大學校, 대덕대학, DAEDUK COLLEGE, 대덕대, 大德大, 大德大學"
대동대학교,Daedong College,"DAEDONG COLLEGE, 대동대학, 大同大學校, 大同大, Dae Dong College, 대동대, 大同大學"
대림대학교,Daelin College,"대림대, 대림대학, DAELIM UNIVERSITY COLLEGE, 大林大學校, 大林大, Daelim College, 大林大學"
대신대학교,Daeshin University,"大神大, Daeshin University, 大神大學, 대신대, 대신대학, 大神大學校"
대원대학교,Daewon University,"大元大, DAEWON UNIVERSITY COLLEGE, 대원대학, 대원과학대, 대원과학대학, 대원대, 대원공과대학, 대원공과대, 大元大學校, 大元大學"
대전가톨릭대학교,Catholic Universtiy of Daejeon,"대전가톨릭대, 大田가톨릭大學, DAEJEON CATHOLIC UNIVERSITY, 대전가톨릭대학, Daejeon Catholic University, 대전카톨릭대학교, 大田가톨릭大, 대전카톨릭대학, 大田가톨릭大學校"
대전과학기술대학교,Daejeon Institute of Science and Technology,"대전과학기술대, 大田科學技術大學, 大田科學技術大, 대전과학기술대학, DAEJEON INSTITUTE OF SCIENCE AND TECHNOLOGY, 大田科學技術大學校"
대전대학교,Daejeon University,"대전대학, Daejeon University, 大田大學校, 大田大學, 大田大, 대전대, DAEJEON UNIVERSITY"
대전보건대학교,Daejeon Health Institute of Technology,"Daejeon Health Sciences College, 大田保健大, Daejeon Health Institute of Technology, 대전보건대학, 대전보건대, 大田保健大學校, 大田保健大學"
대전신학대학교,Daejeon Theological University,"대전신학대학, DAEJEON THEOLOGICAL UNIVERSITY, 대전신학대, 大田神學大學敎, 大田神學大敎"
대진대학교,Daejin University,"大眞大學校, DAEJIN UNIVERSITY, 대진대학, 대진대, 大眞大學, 大眞大"
대한신학대학원대학교,Daehan Theological Seminary & University,"大韓神學大學院大學校, 대한신학대학원대, 대한신학대학원대학, 大韓神學大學院大, 大韓神學大學院大學, DAEHAN THEOLOGICAL UNIVERSITY"
덕성여자대학교,Duksung Women's University,"德成女子大學, 덕성여자대학, 德成女子大, DUKSUNG WOMEN'S UNIVERSITY, 德成女子大學校, 덕성여자대"
도쿄 메트로폴리탄 대학,Tokyo MetroPolitan Univ.,
동강대학교,Donggang University,"동강대학, 동강대, 東岡大學, Dongkang college, 東岡大學校, 東岡大"
동국대학교,Dongguk University,"Dongguk University, 東國大學校, 東國大學, 동국대, 東國大, 동국대학, 동국대학교(경주)"
동남보건대학교,Dongnam Health University,"동남보건대, 동남보건대학, Dongnam Health College, 東南保健大學校, 東南保健大, DONGNAM HEALTH UNIVERSITY, 東南保健大學"
동덕여자대학교,Dongduk Women's University,"동덕여자대, Dongduk Women's University, 동덕여자대학, 同德女子大, 同德女子大學校, 同德女子大學, 동덕여자"
동명대학교,Tongmyong University,"東明大學, TongMyong University, Tongmyong College, 東明大, 동명대학, 東明大學校, 동명대"
동방문화대학원대학교,Dongbang Culture University,"DongBang Culture University, 동방문화대학원대학, DongBang Culture Graduate university, 東方文化大學院大學校, 東方文化大學院大, 東方文化大學院大學, 동방문화대학원대, 동방문화대학원"
동부산대학교,Dong-Pusan College,"東釜山大學, DONG-PUSAN COLLEGE, 동부산대, 東釜山大學校, 동부산대학, 東釜山大"
동서대학교,Dongseo University,"DONGSEO UNIVERSITY, 동서대학, 東西大學校, 동서대, 東西大學, 東西大"
동서울대학교,Dong Seoul College,"DONG SEOUL UNIVERSITY, 東서울大學校, 동서울대, 東서울大學, 동서울대학, Dongseoul College, 東서울大"
동신대학교,Dongshin University,"DONG SHIN UNIVERSITY, 동신대학, 東新大學校, Dongshin University, 東新大, 동신대, 東新大學"
동아대학교,Donga University,"東亞大學校, Dong-A University, 東亞大學, 동아대학, 동아대, 東亞大"
동아방송예술대학교,Dong-Ah Institute of Media and Arts,"동아방송예술대, Dong-Ah Institute of Media and Arts, 동아방송예술대학, 東亞放送藝術大, 東亞放送藝術大學, Dong-Ah Broadcasting College, 東亞放送藝術大學校"
동아보건대학교,Donga College of Health,"동아보건대학, Donga College of Health, 東亞保健大學校, 동아보건대, 東亞保健大學, 東亞保健大"
동양대학교,Dongyang University,"DONGYANG UNIVERSITY, 동양대, 東洋大學, 동양대학, 東洋大, 東洋大學校"
동양미래대학교,Dongyang Mirae University,"東洋未來大學校, 동양미래대, 동양미래대학, Dong Yang Mirae University, Dongyang Mirae University, 東洋未來大學, 東洋未來大"
동우대학교,Dongu College,
동원과학기술대학교,Dongwon Institute of Science And Technology,"동원과학기술대, 東園科學技術大學, 東園科學技術大, 東園科學技術大學校, 동원과학기술대학, DONGWON INSTITUTE OF SCIENCE AND TECHNOLOGY"
동원대학교,Tongwon University,"동원대, 東元大學校, 동원대학, TONGWON COLLEGE, 東元大, 東元大學"
동의과학대학교,Dong Eui Institute of Technology,"동의과학대, 東義科學大學校, 東義科學大學, 東義科學大, DONGEUI INSTITUTE OF TECHNOLOGY, 동의과학대학"
동의대학교,Dongeui University,"Dong-eui University, 東義大, 東義大學校, 동의대, 東義大學, 동의대학"
동주대학교,Dong-Ju College,"Dong-ju College, 동주대, 東洲大學校, 東洲大學, 東洲大, 동주대학, Dongju College"
두원공과대학교,Doowon Technical University College,"두원공업전문대, Doowon Technical College, Doowon Technical University, 斗源工科大學校, 斗源工科大學, 두원공과대, 斗源工科大, 두원공과대학, Doo Won technology College, 두원공업전문대학, 두원공과학대학교"
